"","GEOID","NAME","variable","estimate","moe"
"1483","17037001700","Census Tract 17, DeKalb County, Illinois","B08006_008",0,11
"1484","17037001800","Census Tract 18, DeKalb County, Illinois","B08006_008",0,11
"1485","17037001900","Census Tract 19, DeKalb County, Illinois","B08006_008",0,11
"1486","17037002000","Census Tract 20, DeKalb County, Illinois","B08006_008",4,6
"1487","17037002100","Census Tract 21, DeKalb County, Illinois","B08006_008",25,26
"1488","17037002200","Census Tract 22, DeKalb County, Illinois","B08006_008",89,51
"1489","17039971400","Census Tract 9714, De Witt County, Illinois","B08006_008",0,11
"1490","17039971500","Census Tract 9715, De Witt County, Illinois","B08006_008",0,11
"1491","17039971600","Census Tract 9716, De Witt County, Illinois","B08006_008",0,11
"1492","17039971700","Census Tract 9717, De Witt County, Illinois","B08006_008",8,13
"1493","17039971800","Census Tract 9718, De Witt County, Illinois","B08006_008",0,11
"1494","17041952000","Census Tract 9520, Douglas County, Illinois","B08006_008",0,11
"1495","17041952100","Census Tract 9521, Douglas County, Illinois","B08006_008",0,11
"1496","17041952200","Census Tract 9522, Douglas County, Illinois","B08006_008",0,11
"1497","17041952300","Census Tract 9523, Douglas County, Illinois","B08006_008",0,15
"1498","17041952400","Census Tract 9524, Douglas County, Illinois","B08006_008",14,25
"1499","17043840000","Census Tract 8400, DuPage County, Illinois","B08006_008",52,66
"1500","17043840101","Census Tract 8401.01, DuPage County, Illinois","B08006_008",70,66
"1501","17043840102","Census Tract 8401.02, DuPage County, Illinois","B08006_008",38,29
"1502","17043840103","Census Tract 8401.03, DuPage County, Illinois","B08006_008",184,103
"1503","17043840104","Census Tract 8401.04, DuPage County, Illinois","B08006_008",39,45
"1504","17043840201","Census Tract 8402.01, DuPage County, Illinois","B08006_008",197,99
"1505","17043840202","Census Tract 8402.02, DuPage County, Illinois","B08006_008",135,70
"1506","17043840303","Census Tract 8403.03, DuPage County, Illinois","B08006_008",12,18
"1507","17043840304","Census Tract 8403.04, DuPage County, Illinois","B08006_008",159,87
"1508","17043840600","Census Tract 8406, DuPage County, Illinois","B08006_008",247,83
"1509","17043840703","Census Tract 8407.03, DuPage County, Illinois","B08006_008",73,54
"1510","17043840704","Census Tract 8407.04, DuPage County, Illinois","B08006_008",49,61
"1511","17043840705","Census Tract 8407.05, DuPage County, Illinois","B08006_008",99,60
"1512","17043840706","Census Tract 8407.06, DuPage County, Illinois","B08006_008",92,59
"1513","17043840801","Census Tract 8408.01, DuPage County, Illinois","B08006_008",15,15
"1514","17043840802","Census Tract 8408.02, DuPage County, Illinois","B08006_008",108,62
"1515","17043840901","Census Tract 8409.01, DuPage County, Illinois","B08006_008",75,53
"1516","17043840904","Census Tract 8409.04, DuPage County, Illinois","B08006_008",95,62
"1517","17043840906","Census Tract 8409.06, DuPage County, Illinois","B08006_008",13,17
"1518","17043840907","Census Tract 8409.07, DuPage County, Illinois","B08006_008",77,39
"1519","17043840908","Census Tract 8409.08, DuPage County, Illinois","B08006_008",110,64
"1520","17043840910","Census Tract 8409.10, DuPage County, Illinois","B08006_008",53,42
"1521","17043840911","Census Tract 8409.11, DuPage County, Illinois","B08006_008",22,21
"1522","17043841002","Census Tract 8410.02, DuPage County, Illinois","B08006_008",93,46
