"","GEOID","NAME","variable","estimate","moe"
"2024","17097861009","Census Tract 8610.09, Lake County, Illinois","B08014_003",354,87
"2025","17097861010","Census Tract 8610.10, Lake County, Illinois","B08014_003",281,102
"2026","17097861011","Census Tract 8610.11, Lake County, Illinois","B08014_003",263,118
"2027","17097861012","Census Tract 8610.12, Lake County, Illinois","B08014_003",515,129
"2028","17097861013","Census Tract 8610.13, Lake County, Illinois","B08014_003",181,77
"2029","17097861014","Census Tract 8610.14, Lake County, Illinois","B08014_003",278,146
"2030","17097861105","Census Tract 8611.05, Lake County, Illinois","B08014_003",543,139
"2031","17097861106","Census Tract 8611.06, Lake County, Illinois","B08014_003",651,178
"2032","17097861107","Census Tract 8611.07, Lake County, Illinois","B08014_003",315,147
"2033","17097861108","Census Tract 8611.08, Lake County, Illinois","B08014_003",190,99
"2034","17097861201","Census Tract 8612.01, Lake County, Illinois","B08014_003",370,174
"2035","17097861202","Census Tract 8612.02, Lake County, Illinois","B08014_003",138,81
"2036","17097861301","Census Tract 8613.01, Lake County, Illinois","B08014_003",710,181
"2037","17097861303","Census Tract 8613.03, Lake County, Illinois","B08014_003",207,92
"2038","17097861304","Census Tract 8613.04, Lake County, Illinois","B08014_003",148,68
"2039","17097861402","Census Tract 8614.02, Lake County, Illinois","B08014_003",994,264
"2040","17097861403","Census Tract 8614.03, Lake County, Illinois","B08014_003",184,82
"2041","17097861404","Census Tract 8614.04, Lake County, Illinois","B08014_003",526,187
"2042","17097861504","Census Tract 8615.04, Lake County, Illinois","B08014_003",1300,296
"2043","17097861505","Census Tract 8615.05, Lake County, Illinois","B08014_003",224,82
