"","GEOID","NAME","variable","estimate","moe"
"386","17031210900","Census Tract 2109, Cook County, Illinois","B08014_002",179,117
"387","17031220300","Census Tract 2203, Cook County, Illinois","B08014_002",105,44
"388","17031220400","Census Tract 2204, Cook County, Illinois","B08014_002",172,98
"389","17031220500","Census Tract 2205, Cook County, Illinois","B08014_002",450,146
"390","17031220601","Census Tract 2206.01, Cook County, Illinois","B08014_002",230,120
"391","17031220602","Census Tract 2206.02, Cook County, Illinois","B08014_002",937,316
"392","17031220701","Census Tract 2207.01, Cook County, Illinois","B08014_002",170,112
"393","17031220702","Census Tract 2207.02, Cook County, Illinois","B08014_002",159,66
"394","17031220901","Census Tract 2209.01, Cook County, Illinois","B08014_002",229,99
"395","17031220902","Census Tract 2209.02, Cook County, Illinois","B08014_002",159,55
"396","17031221000","Census Tract 2210, Cook County, Illinois","B08014_002",266,105
"397","17031221100","Census Tract 2211, Cook County, Illinois","B08014_002",589,218
"398","17031221200","Census Tract 2212, Cook County, Illinois","B08014_002",248,145
"399","17031221300","Census Tract 2213, Cook County, Illinois","B08014_002",601,151
"400","17031221400","Census Tract 2214, Cook County, Illinois","B08014_002",312,106
"401","17031221500","Census Tract 2215, Cook County, Illinois","B08014_002",215,88
"402","17031221600","Census Tract 2216, Cook County, Illinois","B08014_002",363,170
"403","17031222200","Census Tract 2222, Cook County, Illinois","B08014_002",165,71
"404","17031222500","Census Tract 2225, Cook County, Illinois","B08014_002",100,51
"405","17031222600","Census Tract 2226, Cook County, Illinois","B08014_002",166,68
"406","17031222700","Census Tract 2227, Cook County, Illinois","B08014_002",105,49
"407","17031222800","Census Tract 2228, Cook County, Illinois","B08014_002",87,47
"408","17031222900","Census Tract 2229, Cook County, Illinois","B08014_002",42,28
"409","17031230100","Census Tract 2301, Cook County, Illinois","B08014_002",149,78
"410","17031230200","Census Tract 2302, Cook County, Illinois","B08014_002",163,77
"411","17031230300","Census Tract 2303, Cook County, Illinois","B08014_002",58,38
"412","17031230400","Census Tract 2304, Cook County, Illinois","B08014_002",88,53
"413","17031230500","Census Tract 2305, Cook County, Illinois","B08014_002",192,122
"414","17031230600","Census Tract 2306, Cook County, Illinois","B08014_002",331,197
"415","17031230700","Census Tract 2307, Cook County, Illinois","B08014_002",246,178
"416","17031230800","Census Tract 2308, Cook County, Illinois","B08014_002",23,36
"417","17031230900","Census Tract 2309, Cook County, Illinois","B08014_002",388,138
"418","17031231100","Census Tract 2311, Cook County, Illinois","B08014_002",77,37
"419","17031231200","Census Tract 2312, Cook County, Illinois","B08014_002",358,146
"420","17031231500","Census Tract 2315, Cook County, Illinois","B08014_002",566,238
"421","17031240200","Census Tract 2402, Cook County, Illinois","B08014_002",118,49
"422","17031240300","Census Tract 2403, Cook County, Illinois","B08014_002",169,52
"423","17031240500","Census Tract 2405, Cook County, Illinois","B08014_002",93,54
"424","17031240600","Census Tract 2406, Cook County, Illinois","B08014_002",93,44
"425","17031240700","Census Tract 2407, Cook County, Illinois","B08014_002",170,79
"426","17031240800","Census Tract 2408, Cook County, Illinois","B08014_002",118,42
"427","17031240900","Census Tract 2409, Cook County, Illinois","B08014_002",54,39
"428","17031241000","Census Tract 2410, Cook County, Illinois","B08014_002",143,75
"429","17031241100","Census Tract 2411, Cook County, Illinois","B08014_002",412,151
"430","17031241200","Census Tract 2412, Cook County, Illinois","B08014_002",130,53
"431","17031241300","Census Tract 2413, Cook County, Illinois","B08014_002",123,49
"432","17031241400","Census Tract 2414, Cook County, Illinois","B08014_002",645,290
"433","17031241500","Census Tract 2415, Cook County, Illinois","B08014_002",372,180
"434","17031241600","Census Tract 2416, Cook County, Illinois","B08014_002",456,160
"435","17031242000","Census Tract 2420, Cook County, Illinois","B08014_002",497,242
"436","17031242100","Census Tract 2421, Cook County, Illinois","B08014_002",385,187
"437","17031242200","Census Tract 2422, Cook County, Illinois","B08014_002",414,115
"438","17031242300","Census Tract 2423, Cook County, Illinois","B08014_002",211,123
"439","17031242400","Census Tract 2424, Cook County, Illinois","B08014_002",134,74
"440","17031242500","Census Tract 2425, Cook County, Illinois","B08014_002",279,107
"441","17031242600","Census Tract 2426, Cook County, Illinois","B08014_002",696,264
"442","17031242700","Census Tract 2427, Cook County, Illinois","B08014_002",278,84
"443","17031242800","Census Tract 2428, Cook County, Illinois","B08014_002",132,89
"444","17031242900","Census Tract 2429, Cook County, Illinois","B08014_002",179,108
"445","17031243000","Census Tract 2430, Cook County, Illinois","B08014_002",219,100
